기준일,시장,종목명,종목코드,기준가,1개월(%),3개월(%),6개월(%),12개월(%),모멘텀스코어
2026-03-27,KOSDAQ,인텔리안테크,189300,122900,16.9,197.9,166.9,253.2,289.0
2026-03-27,KOSDAQ,에스피지,058610,106500,-30.7,69.0,320.1,312.0,283.8
2026-03-27,KOSDAQ,ISC,095340,236000,56.6,110.9,305.5,266.5,283.4
2026-03-27,KOSDAQ,HLB이노베이션,024850,5060,100.0,198.7,223.7,79.8,266.8
2026-03-27,KOSDAQ,원익홀딩스,030530,29100,-31.2,22.8,234.9,612.4,264.4
2026-03-27,KOSDAQ,브이엠,089970,44400,47.8,77.6,261.3,365.4,256.2
2026-03-27,KOSDAQ,큐리언트,115180,39550,15.5,35.4,218.4,589.0,252.3
2026-03-27,KOSPI,한화시스템,272210,120750,28.2,161.4,137.2,295.3,251.1
2026-03-27,KOSPI,SK하이닉스,000660,901000,-0.9,70.0,234.9,373.7,248.4
2026-03-27,KOSPI,대덕전자,353200,83050,31.2,68.8,245.3,365.3,244.5
2026-03-27,KOSDAQ,기가비스,420770,82100,52.3,137.3,204.1,187.6,238.9
2026-03-27,KOSDAQ,큐리옥스바이오시스템즈,445680,112000,-5.0,16.7,164.8,709.2,238.6
2026-03-27,KOSDAQ,원익IPS,240810,116300,1.7,89.7,186.1,358.8,236.3
2026-03-27,KOSDAQ,온코닉테라퓨틱스,476060,23200,26.3,11.8,248.2,538.8,236.1
2026-03-27,KOSPI,미래에셋증권2우B,00680K,20300,29.8,110.0,147.3,401.9,236.1
2026-03-27,KOSDAQ,현대바이오,048410,14050,24.9,179.3,131.1,137.9,231.6
2026-03-27,KOSDAQ,로보티즈,108490,236000,-30.3,1.1,166.6,695.9,229.4
2026-03-27,KOSPI,한미반도체,042700,266000,26.1,115.2,205.7,184.5,226.7
2026-03-27,KOSDAQ,두산테스나,131970,100900,48.8,125.2,176.8,234.7,225.8
2026-03-27,KOSDAQ,비나텍,126340,115700,21.5,98.1,153.4,367.0,224.3
2026-03-27,KOSPI,현대건설,000720,144600,40.9,115.8,132.9,331.6,217.2
2026-03-27,KOSDAQ,파두,440110,50300,136.7,81.9,255.0,240.6,213.8
2026-03-27,KOSDAQ,에스티큐브,052020,19480,144.7,163.2,161.1,149.7,212.2
2026-03-27,KOSDAQ,유진로봇,056080,25400,-26.2,108.2,154.5,214.7,212.0
2026-03-27,KOSDAQ,제이에스링크,127120,37000,77.5,87.0,103.3,515.6,208.9
2026-03-27,KOSDAQ,주성엔지니어링,036930,69400,67.8,153.7,153.3,108.7,207.8
2026-03-27,KOSDAQ,비츠로셀,082920,35150,67.4,132.2,147.4,190.8,204.1
2026-03-27,KOSDAQ,뉴로메카,348340,62600,-31.8,103.6,180.1,120.8,203.4
2026-03-27,KOSDAQ,코오롱티슈진,950160,125800,19.8,47.3,239.5,246.6,203.0
2026-03-27,KOSDAQ,피에스케이홀딩스,031980,95600,21.2,112.4,178.7,131.8,201.4
2026-03-27,KOSDAQ,삼현,437730,48600,-27.5,20.6,241.1,274.4,197.4
2026-03-27,KOSDAQ,올릭스,226950,201000,45.8,56.2,225.2,241.8,196.8
2026-03-27,KOSDAQ,제주반도체,080220,39550,-8.7,109.8,146.0,152.6,193.1
2026-03-27,KOSPI,효성중공업,298040,2655000,2.0,39.7,114.1,513.9,191.2
2026-03-27,KOSDAQ,티에스이,131290,108700,38.8,94.1,189.5,142.6,190.8
2026-03-27,KOSDAQ,에코프로,086520,148700,-8.5,76.0,193.9,139.1,187.2
2026-03-27,KOSDAQ,에이프릴바이오,397030,63100,8.2,57.8,179.2,245.9,183.3
2026-03-27,KOSDAQ,비에이치아이,083650,92600,29.0,106.0,59.4,365.3,181.8
2026-03-27,KOSPI,LS ELECTRIC,010120,781000,38.0,69.8,174.5,225.4,180.6
